No,Nama Resep,Kategori,Deskripsi,Bahan-bahan,Jumlah Bahan,Langkah Memasak,Jumlah Langkah,Waktu Memasak,Jumlah Porsi,Penulis,Lokasi Penulis,URL
213,Soto Ayam Iris & Lobak,soto ayam,Ini soto ayam yang paling simpel. Kuahnya bening mirip² sama soto bandung cuma ini bedanya pake ayam jadi cepet matengnya.. Source : @devinahermawan #PoodyKitchen #CookpadApron2026 #AnekaKuahBening #ComboNgabibita_MakananKuahBening #CookpadCommunity_Bogor,"300 g Dada ayam , iris tipis dan miring | 1 buah Lobak , potong dadu | 4 lembar Daun salam , sobek tapi jangan sampai putus | 10 lembar Daun jeruk , sobek tapi jangan sampai putus | 1 batang Serai , geprek | 1 batang Daun bawang ukuran besar, potong2 | 1-1,5 liter Air | secukupnya Garam, gula pasir, kaldu jamur , lada bubuk | secukupnya Minyak goreng untuk menumis | 🧄 Bumbu Halus : | 8 butir Bawang merah | 8 siung Bawang putih | 🌶 Pelengkap : | Bawang goreng | Irisan seledri | Irisan cabe rawit setan | Irisan Jeruk nipis",17,"Siapkan bahan². || Tumis bumbu halus, serai, daun salam dan daun jeruk hingga harum. Lalu tuang air, masak hingga mendidih. Kemudian masukkan lobak, masak lagi hingga mendidih. || Masukkan potongan daun bawang, kemudian masukkan potongan ayam, bumbui dengan garam, gula, lada bubuk dan kaldu jamur. Jangan lupa tes rasa. Masak hingga lobak dan ayam empuk. Matikan api. || Tuang soto ayam iris ke dalam mangkuk dan sajikan panas² dengan pelengkap.",4,45 menit,,Pujani Handayani,Bogor,https://cookpad.com/id/resep/13321029
214,Soto Ayam Rumahan Simple,soto ayam,#CookpadApron2026 #FavoritKeluargaku #CookpadCommunity_Batam,"1/2 potong dada ayam (+/- 350 gr) dapat ditambah dengan ceker / sayap / kepala , dll | 1,5 liter air | 1 sdm garam | 1 sdt kaldu bubuk | secukupnya minyak goreng untuk menumis bumbu halus | Pelengkap | Soun | Telur rebus | Sayur Kol & toge / kecambah | Seledri taburan | Bawang goreng taburan | Sambel cabe rawit | Bumbu Halus | 5 buah bawang merah | 7 siung bawang putih | 2 ruas jari kelingking kunyit (optional, bila ingin warna kuah agak kuning) | 2 buah kemiri | 1 sdt lada bubuk | 1/2 sdt ketumbar | Bumbu cemplung | 3 lembar daun salam | 5 lembar daun jeruk | 1 batang sereh | secukupnya cengkeh , kayu manis , bunga lawang (optional biar soto makin wangi)",24,"Siapkan semua bahan untuk membuat bumbu halusnya. Haluskan bumbu bisa diulek atau blender. || Tumis bumbu halus dengan minyak goreng sebentar, kemudian masukkan bumbu cemplung dan tumis hingga matang & harum. Jika bumbu halus sudah matang masukkan ayam dan tumis hingga mengeluarkan minyak || Masukkan tumisan bumbu ke panci berisi air mendidih. Masak dan beri garam & kaldu bubuk sesuai selera. Masak hingga ayam empuk. || Penyajian : pada mangkuk masukkan nasi, diatasnya letakkan soun, diatas soun letakkan irisan kol & toge, lalu siram kuah soto, beri suwiran daging ayam, irisan telur rebus, taburan bawang goreng & seledri, serta pelengkap lainnya.",4,1 jam,,Riza Juniarti,Batam,https://cookpad.com/id/resep/25595377
215,Soto Ayam Bening (Soto Seger Boyolali),soto ayam,"Kalau lagi pengen yang panas dan seger, kami sering ke SSB..porsinya pas dan harganya ramah di kantong. SSB ini salah satu kuliner favorit keluarga kami. Untuk challenge pertama Cookpad Apron 2026, saya spesial bikin sendiri Soto Ayam Seger ala...","1/2 potong dada ayam (+/- 350 gr) dapat ditambah dengan ceker / sayap / kepala , dll | 1,5 liter air | 1 genggam taoge , rendam air mendidih tiriskan | 1 genggam kol iris, rebus sebentar, tiriskan | 🌰 Bumbu Halus | 5 buah bawang merah | 3 siung bawang putih | 1 ruas jari kelingking kunyit (optional, bila ingin warna kuah agak kuning) | 🌰 Bumbu Cemplung | 3 lembar daun salam | 3 lembar daun jeruk | 1 batang sereh | 1 jempol jahe , geprek | 1 jempol lengkuas ,geprek | 1 SDT lada bubuk | Secukupnya garam dan kaldu jamur (+/- 2-3 SDT)",16,"Siapkan bahan. || Rebus air secukupnya hingga mendidih, masukkan ayam, rebus hingga mendidih kembali. Lalu tiriskan ayam dan buang air rebusan. Rebus air untuk merendam taoge dan kol. Tiriskan. Haluskan bawang merah dan bawang putih. || Panaskan 1,5 liter air, masukkan ayam yang telah direbus tadi bersama sereh, daun salam, dan daun jeruk. Sambil menunggu mendidih, tumis bumbu halus bersama jahe dan lengkuas hingga harum. Lalu masukkan tumisan bumbu kedalam rebusan ayam. || Tambahkan lada bubuk, garam, dan kaldu bubuk. Masak ayam hingga empuk. Untuk mendapat kuah yang bening, saring kuahnya. || Ayam boleh digoreng boleh tidak. Suwir-suwir ayam. Tata kol, taoge dan suwiran ayam dalam mangkuk saji. Tuang kuah bening. || Sajikan. Nikmati bersama perkedel, sambal, dan perasan jeruk nipis..Segeerrnyaa..😋🤤",6,1 jam,,Mba Wen,Bekasi,https://cookpad.com/id/resep/25589692
216,Soto Ayam,soto ayam,"Masakan favorit keluarga selain opor ada SOTO AYAM. Apalagi kalau ada tambahan telur rebus, kerupuk, perkedel, & perasan lemon cina, hmm...auto nambah 😁 #CookpadApron2026 #FavoritKeluargaku #CookpadCommunity_Bali #CPBali_FavoritKeluargaku2026 #CPBaliAuthor2026_Ika #4/4/2026",500 gram ayam | 1200-1500 ml air | Secukupnya daun bawang iris | Secukupnya sledri iris | 4 buah lemon cina (peras airnya) | Secukupnya garam | Secukupnya kaldu jamur | Secukupnya minyak untuk menumis | Bumbu Halus: | 8 siung bawang putih | 4 siung bawang merah | 1 ruas kunyit | 1 ruas jahe | 3 butir kemiri | Secukupnya ketumbar bubuk | Secukupnya lada putih bubuk | Bumbu Aromatik: | 1 batang serai | 1 ruas lengkuas | 2 lembar daun salam | 6-8 lembar daun jeruk purut | Pelengkap: | Secukupnya nasi putih | Secukupnya toge rebus | Secukupnya kol rebus | Secukupnya telur rebus | Secukupnya lemon cina | Secukupnya kecap manis | Secukupnya bawang merah goreng | Secukupnya bawang putih goreng | Secukupnya kerupuk,31,"Panaskan minyak & tumis bumbu halus sampai harum. Tambahkan bumbu aromatik & tumis sampai layu. Masukkan ayam & tumis sampai berubah warna. Masukkan air & masak sampai daging ayam empuk. || Beri garam & kaldu jamur. Tambahkan perasan lemon cina, sledri, & daun bawang iris. || Dalam mangkok: beri nasi, masukkan toge & kol yang sudah direbus. Tambahkan ayam & kuah soto. Beri kecap manis. || Tambahkan lemon cina, telur rebus, bawang merah & bawang putih goreng. Sajikan bersama kerupuk. Selamat menikmati.",4,50 menit,6 porsi,Ika S. Arianto,"Ambon, Maluku, Indonesia",https://cookpad.com/id/resep/25495194
217,Soto Ayam,soto ayam,Bismillah.. Lebaran nggak harus opor ayam dan ketupat ya.. soto yang seger pun bisa jadi pilihan untuk #HidanganHariRaya. #IspirasiDapurRamadan #Semangcook_HidanganRaya #SemangcookHokyaHokye26 #CookpadCommunity_Semarang,"500 gram ayam | 1,5 liter air (kurleb) | Bumbu halus: | 5 bh bawang merah | 3 bh bawang putih | 2 bh kemiri | 1 sdt ketumbar | 1/2 sdt jinten | 1 ruas jahe | 1 ruas kunyit | 1 bh kapulaga | Bumbu aromatik: | 2 lmbr daun salam | 2 lmbr daun jeruk | 1 btg sereh | 1 ruas lengkuas | 3 cm kayu manis | 1/2 bh pekak | Seasoning: | 1/2 sdt gula | 1,5 sdt garam | 1/2 sdt kaldu bubuk | Pelengkap: | Soun , rebus | Taoge , rendam air mendidih | Seledri , iris tipis | Bawang merah goreng | Jeruk nipis , ambil airnya | potong dadu Timun ,",29,"Bismillah.. siapkan bahan-bahan yang akan digunakan. Haluskan bumbu. Rebus ayam sampai mendidih lalu buang airnya. Cuci ayam lalu rebus kembali dengan api sedang cenderung kecil. || Tumis bumbu halus bersama aromatik sampai harum. || Masukkan tulisan bumbu ke dalam rebusan ayam. Beri seasoning. Masak sampai bumbu meresap. Jangan lupa koreksi rasa. || Terakhir masukkan daun bawang. Aduk rata. Angkat. || Siapkan bahan pelengkap. Rebus soun, rendam taoge, lalu tiriskan. Iris timun, seledri, jeruk nipis. || Tata dalam mangkok: nasi dan bahan pelengkap lalu siram dengan kuah dan siap dinikmati.",6,45 menit,,Bunda TitanQue,Salatiga,https://cookpad.com/id/resep/25545641
218,Soto Betawi Ayam,soto ayam,"Soto Ayam Betawi hadir dengan kuah santan gurih dan susu segar yang berpadu dengan rempah khas, potongan ayam empuk, dan aroma yang menggugah selera. Disajikan hangat dengan pelengkap seperti kentang, telur, dan emping, soto ini menghadirkan cita rasa Betawi yang kaya dan...","Bumbu Halus: | 6 siung bawang merah | 4 siung bawang putih | 5 btr kemiri sangrai | 1 ruas jahe | 1 ruas kunyit | 1 sdt lada butir | Bahan Utama: | 1 ekor ayam kampung (me: 8 ptg sayap ayam ) | 2 ltr santan | 500 ml susu cair | 2 btg sereh , geprek | 1 ruas lengkuas , geprek | 4 lbr daun salam | 6 lbr daun jeruk | 4 bh tomat , potong² | 2 btg daun bawang , iris2 | Secukupnya garam, gula pasir, kaldu jamur | Bahan Pelengkap: | 1/2 kg kentang , potong dadu lalu goreng | 4 btr telur rebus | 1 bh jeruk nipis | secukupnya Kripik Emping mlinjo | Secukupnya bawang goreng",24,"Haluskan bumbu, kemudian tumis bersama sereh, laos, daun jeruk, dan daun salam sampai harum. || Masukkan santan, beri garam, gula pasir, dan kaldu jamur. Aduk sampai tercampur rata. Masukkan sayap ayam, masak sampai bumbu meresap dan ayam empuk. Jangan lupa koreksi rasa. || Masukkan susu, aduk pelan, tunggu mendidih. Tambahkan daun bawang dan tomat, mendidih 1 mnt matikan api. || Taburi bawang goreng. Sajikan soto ayam betawi bersama pelengkap: kentang goreng dan beri jeruk nipis👍😋",4,,4 porsi,Arum Yusia,"Kediri, Jawa Timur",https://cookpad.com/id/resep/25320903
219,Soto Bandung Ayam,soto ayam,Sayur bening lobak..dibandung menjadi menu utama di hari raya. Di sajikan dengan irisan ketupat #InspirasiDapurRamadan #HidanganHariRaya #ComboBabaturan_NgangeunBoboran #CookpadCommunity_Bogor,500 gr fillet ayam | 2 lobak | 1 seledri | 1 daun bawang | Bumbu halus: | 6 bawang merah | 3 bawang putih | 2 cm jahe | Aromatik: | 2 daun bawang bagian putih nya | 1 serai | 3 daun jeruk | 2 daun salam | 1 sdt kaldu bubuk | 1 sdt garam | 600 ml air,16,"Goreng bawang merah dan putih serta jahe lalu haluskan || Tumis daun bawang dan serai sampai harum, masukkan ayam fillet masak sampai berubah warna,beri air || Tambahkan garam,daunsalan dan daun jeruk serta kaldu bubuk || Masukkan irisan lobak dan bumbu halus. masak sampai semua bahan empuk",4,,,Ratna Rasuan,Bogor,https://cookpad.com/id/resep/25480166
220,Soto Ayam Semarang,soto ayam,. . . . . . . Source : ig _ martinpraja,1 ekor Ayam Kampung | 2 btg Daun Bawang | 2 lbr Daun Salam | 2 lbr Daun Jeruk | 1 btg Kayumanis | 1 btg Seledri | 2 L Air | Garam + Gula + Lada + Gula Merah | Haluskan : | 10 sg BaMer | 5 sg BaPut | 4 btr Kemiri | 1 ruas Jahe | 1 sdt Ketumbar | 1 sdt Jinten | Pelengkap : | Irisan Seledri | Sambal | Jeruk Nipis | BaPut Goreng,20,"Tumis bumbu halus bersama daun jeruk, daun salam, kayumanis masak hingga layu || Tuang air, masukan juga ayam, daun bawang seledri, bumbu² perasa, aduk rata, masak hingga matang ± 40menit (agar kuah tidak keruh, buang kotoran² yg mengapung) || Angkat ayam lalu suwir² || Siapkan nasi dalam wadah beri suwiran ayam lalu tuang kuah kaldu, sajikan beserta pelengkap",4,40menit,,Rhee's Kitchen Journal,Bandung - Jawa Barat,https://cookpad.com/id/resep/25482716
221,Soto Ayam Simpel,soto ayam,Backgroundnya mah karena punya sisa bumbu ungkep ayam goreng. Trus disaring biar lebih bening & ampasnya gak ikut.,"1 gelas sisa bumbu ungkep ayam goreng | 3 potong daging ayam , goreng & suwir2 | 4 buah ceker yang udah diungkep bareng daging ayam tadi | 2 lembar daun jeruk , 1 batang sereh , 2 lembar daun salam | 1 sdt ketumbar bubuk | 1 sdr bawang putih bubuk | 1 sdt lada bubuk | 1 batang daun bawang , bagian putih untuk kuah kaldu. Yang hijau untuk taburan nanti | 1 batang seledri untuk taburan | 1 sdt garam, gula pasir & penyedap secukupnya | 10 buah rawit merah, rebus, blender halus, kalo mau bisa ditumis lagi sebentar | 1 buah jeruk nipis | 2 buah buah telur rebus , perkedel kentang , tempe goreng sebagai pelengkap (optional) | 2 buah tomat merah, potong sesuai selera, soun yang udah direbus/rendam air panas, kol yg diiris tipis2 dan tauge sebagai pelengkap",14,"Rebus sisa bumbu ungkep beserta ceker/sayap dengan 1 gelas air. Kalo kurang, dikira-kira aja butuhnya seberapa banyak untuk kuahnya. || Masukkan daun jeruk, daun salam & sereh yang udah digeprek, bawang putih bubuk, lada bubuk & ketumbar bubuk. || Masukkan batang daun bawang, seasoning, koreksi rasa. Masak sampai mendidih. || Udah gitu doang. Sisanya tinggal ditata di mangkuk. Taruh sounnya, kol, tauge & tomat, siram kuah kaldu yang panas, taburi dengan seledri & daun bawang.",4,,,Icha Mardianto,,https://cookpad.com/id/resep/25476086
222,Soto Ayam Bumbu Instan,soto ayam,Soto ayam versi bumbu instan dr selera kobe niyh gaes... soto ayam satsetsatset menu berbuka puasa 😅😝 #CookpadCommunityBogor #soto #sotoayam,1 bungkus soto ayam selera kobe | 1 sdm minyak goreng | 500 gram Tulangan ayam dipotong2 | 1.5 liter air | 2 keping bihun | 3 lembar Kol iris2 | 100 gram Toge | 1 batang Daun bawang iris2 | 1 batang Seledri iris2 | Secukupnya Bawang goreng | Telur rebus | Ayam goreng suwir2 | Jeruk nipis | Sambal soto Sambal Soto/Baso/Mie Ayam,14,"Persiapkan semua bahan2 nya. Tulangan ayam direbus sebentar air rebusan pertama dibuang lalu masukan air 1.5liter rebus lg tulangan ayam. Toge dan kol rebus sebentar lalu tiriskan. Bihun rebus hingga lunak lalu tiriskan || Tumis bumbu instan soto ayam selera kobe dgn minyak goreng hingga harum setelah itu masukan kedalam rebusan tulangan ayam masak hingga matang || Sajikan dgn menata bihun di mangkuk lalu masukan kol, toge, daun bawang, seledri, siram dgn kuah soto beri suwiran ayam goreng, telur rebus jg kucuran air jeruk nipis dan sambal soto",3,30 menit,,Dapoer Rowoel,"Bogor, Jawa Barat, Indonesia",https://cookpad.com/id/resep/25466618
223,Soto Ayam Santan Simpel (155),soto ayam,"Masakan berkuah saat berbuka puasa adalah salah satu menu kesukaan dikeluarga kecil saya, salahh satunya masak soto ayam santan. Rasanya gurih apalagi dibubuhi dengan @garamcapkapal membuat masakan menjadi lebih gurih. Tekstur garam ini halus sekali sehingga...","300 gr Dada Ayam Fillet | 2 Bks santan instant kemasan 65 ml | 2 batang Daun bawang , iris kasar | 3 lembar Daun salam | 4 lembar Daun jeruk | 2 batang Sereh , geprek | 2 cm Lengkuas , geprek | Secukupnya Garam Cap Kapal | Secukupnya Kaldu bubuk | Bumbu Halus | 8 butir Bawang Merah | 4 butir Bawang Putih | 1 sdt ketumbar butiran | 2 butir kemiri (bisa disangrai dulu) | 2 ruas jari jahe | Pelengkap : | Tomat merah, iris kasar | Jeruk limo | Sambal soto | Kerupuk atau emping | Bawang goreng | Peralatan Masak : | Wajan anti lengket ASTA Valentina",23,"Siapkan semua bahan || Rebus dada ayam fillet, Suwir suwir lalu goreng sebentar. Sisihkan. Kemudian potong kasar tomat merah, sisihkan || Siapkan Wajan ASTA Valentina. Tuang minyak goreng sedikit. Masukkan bumbu halus. Tumis sampai harum lalu masukkan daun salam, daun jeruk, Laos geprek dan sereh geprek. Aduk aduk sebentar || Tambahkan kaldu bubuk secukupnya, Garam Cap Kapal secukupnya. Selanjutnya masukkan Santan instant (tambahkan air secukupnya sekitar 850 ml). Masukkan juga irisan daun bawang. Aduk rata. Masak sampai kuah matang dan sedikit menyusut. Jangan lupa tes rasa. || Langkah selanjutnya ambil wadah saji. Masukkan potongan tomat merah dan ayam suwir goreng. Tuang kuah soto. || Sajikan selagi hangat dengan bahan pelengkap",6,55 menit,,Dapur Kak Dina,,https://cookpad.com/id/resep/25460944
224,Soto Ayam Santan,soto ayam,"Lezattt dan segarrr…cocok dijadikan menu berbuka puasa dan saat sahur. Ayam bisa disuwir atau tidak, tergantung selera…Wajib recook 👍","1/2-1 kg ayam | Bumbu halus : | 9 siung bawang merah | 8 siung bawang putih | 3 ruas kunyit | 1 jempol lengkuas | 1 jempol jahe | 7 btr kemiri | 1/2 sdt lada bubuk | 2 sdm ketumbar bubuk | Bumbu tambahan : | 4 bh cengkeh | 4 bh kapulaga | 3 btg sereh , geprek | 2 lbr daun salam | 4 lbr daun jeruk | 2 ktk santan kara | Secukupnya garam dan kaldu jamur | Pelengkap : | Secukupnya emping | 1-2 btg daun bawang , secukupnya seledri | Secukupnya tomat , iris | Secukupnya kentang , potong dan goreng | Secukupnya sambal bawang | Sambal bawang : | 6 siung bawang merah | 3 siung bawang putih | 9 bh cabe rawit merah | 10 bh cabe merah | 1/2 bh tomat | Secukupnya garam dan kaldu jamur",31,"Tumis bumbu halus dan bumbu tambahan sampai matang (tidak termasuk santan). || Masukkan ayam. || Tambah air, ungkap ayam sampai matang. || Setelah ayam matang, keluarkan ayam. Tambah santan ke kuah soto. Masak sampai mendidih. Ayam goreng di minyak panas sampai kekuningan. || Masukkan daun bawang. Koreksi rasa. || Angkat dan sajikan.",6,,,Vera Astuti,,https://cookpad.com/id/resep/25460341
225,Soto Ayam (Bumbu Instan),soto ayam,"Cuaca lg dingin, kondisi tubuh lg drop butuh yg hangat"". Alhasil jadilah soto ayam pakai bumbu instan 🙈🤭",3 potong bagian ayam | 3 siung Baput | 3 siung Bamer | 1 batang sereh | lembar Daun salam & jeruk @3 | 500 ml Air | 1 sdm garam | 1/2 sdm penyedap | 1/2 sdm msg (optional) | secukupnya Kol dan tauge | 2 butir Telur,11,"Halusnya bamer dan baput, tumis hingga layu dan masukkan bumbu soto serta daun salam, sereh dan daun jeruk (Sisihkan) || Didihkan air lalu masukkan bumbu tumis td dan ayam nya. Masukkan bumbu lainnya tunggu hingga masak menggolak. Rebus telur hingga matang di panji berbeda || Angkat ayam, tiriskan lalu goreng hingga kecoklatan dan bisa disuir. Potong tipis kol dan cuci bersih (sisihkan) || Sajikan didalam mangkuk (Kol, tauge, ayam suir, telur dan kuah soto)",4,1 jam,,Widya Ningsih,"Tangerang, Banten",https://cookpad.com/id/resep/25458883
226,Soto Ayam Favorit,soto ayam,"📆Rab, 4 Mar 2026 Selamat pagii 👩🏻‍🍳👩🏻‍🍳 Musim hujan cocoknya menu yang satu ini deh, soto ayam. Ya, soto ini merupakan hidangan favorit keluarga kami. Dengan kehangatan semangkok soto di meja makan, rasa kebersamaan menjadi sangat berharga Soto ini menggunakan garam...","800 gr ayam | 1 batang preh | 2 batang seledri | 6 lembar daun jeruk | 1 batang sereh , ukuran besar | 1,5 liter air | Secukupnya garam cap Kapal | Secukupnya gula pasir | Secukupnya kaldu ayam | Bumbu Halus: | 7 butir bawang merah | 6 siung bawang putih | 2 ruas kunyit | 2 ruas jahe | 1/2 sdt lada butir | 1/2 sdt jinten | 3 butir kemiri | Sambal (rebus, haluskan): | 1 buah tomat ukuran sedang | 5 buah cabe rawit | 1 siung bawang putih | Sepucuk sdt garam Cap Kapal | Pelengkap: | Secukupnya tauge , rebus sebentar | Secukupnya kubis , iris halus | Secukupnya telur rebus | Secukupnya keripik kentang | Secukupnya jeruk nipis | Keripik kentang (goreng sampai kering): | 2 buah kentang ukuran besar, potong dan iris tipis | Sejimpit garam Cap Kapal | Secukupnya minyak goreng",32,"🍜Haluskan bumbu halus. Geprek sereh || 🍜Tumis bumbu halus bersama daun jeruk dan sereh sampai harum dan matang. 🍜Masukkan ayam. Ungkep hingga ayam berubah warna 🍜Sementara itu didihkan air di panci lain || 🍜Setelah air mendidih, pindahkan ayam dan bumbunya tadi. 🍜Tambahkan garam Cap Kapal, gula pasir dan kaldu ayam. 🍜Masak hingga mendidih dan ayam matang. || 🍜Angkat ayam lalu goreng sebentar jangan terlalu kering kemudian suwir2 || Membuat Keripik kentang: 🍜Iris kecil dan tipis kentang lalu cuci hingga bersih. Taburi sedikit garam kemudian goreng sampai kering. || Membuat sambal: 🍜rebus bahan sambal hingga empuk lalu haluskan. || Penyajian: 🍜Tata dalam mangkok saji nasi dan pelengkap yang lain. Siram secukupnya kuah soto. || 🍜Hidangkan selagi masih panas. Enjoyy🍜🥰",8,1 jam,,Erlyn Bukhori,"Kuta utara, Bali",https://cookpad.com/id/resep/25435270
227,Soto Ayam Kuah Kuning,soto ayam,"resep ini aku dapetin di TikTok dengan viewers yang lumayan besar juga, yaitu dari @Zakiya0916. semoga jadi amal jariyah buat beliau, dan kata suamiku ini enak banget 😁","1/2 kg ayam | 1 bh jeruk nipis (kalau jeruknya besar pakai ½ aja) | 1 sdt garam | 2 btg daun bawang | 2 btg seledri | secukupnya garam, penyedap dan kaldu bubuk | secukupnya air dan minyak untuk menumis | Aromatik : | 1 btg serai (geprek) | 1 lembar daun salam | 2 lembar daun jeruk | 1 ruas jempol lengkuas (geprek) | Bumbu Halus : | 12 siung bawang merah | 6 siung bawang putih | 3 bh kemiri | 1 ruas jempol jahe (± 5 cm) | 1/4 bh pala | 1/2 sdt jinten | 1/2 sdt ketumbar | 1 ruas jari kunyit (kalau kurang kuning tambah kunyit bubuk ) | 1 sdt lada butir (karena nggak punya aku ganti lada bubuk aja)",22,"Cuci ayam ayam lalu beri kucuran jeruk nipis dan garam, remas - remas lalu diamkan sebentar dan lanjut bilas sampai bersih. || Bumbu halus sebelum dihaluskan disangrai terlebih dahulu (untuk yang bubuk - bubuk nggak aku sangrai ya) lalu setelah itu blender pakai minyak. setelah bumbu halus lalu masak sampai bumbu matang dengan ditambahkan bumbu aromatik. setelah tanak lalu masukkan ayam dan tambahkan air ± 2L, daun bawang, daun seledri, lalu penyedap, garam dan kaldu bubuk. || Masak sampai mendidih dan ayam matang. kalau mau sebelum disantap ayamnya bisa digoreng dulu ya. untuk pelengkap bisa dimakan bersama soun, kecambah, kol, potongan daun seledri & daun bawang, potongan tomat, telur rebus, sambel, bawang goreng dan jeruk nipis / jeruk sambel. selamat mencoba 😊",3,60 menit,,Tungku Mande by Put 😊,"Kebumen, Jawa Tengah",https://cookpad.com/id/resep/25453641
228,"🍲 Soto Ayam Kuah Kuning,Gurih Dan Segar",soto ayam,"Menu soto ini sering jadi andalan di rumah kalau lagi kumpul keluarga. Kuah hangatnya bikin nyaman, apalagi ditambah sambal dan jeruk nipis. Sederhana tapi selalu bikin kangen.","1/2 Ekor ayam kampung (± 500gr) | 1,5 liter air | 3 sdm minyak goreng | Bumbu Halus | 6 siung bawang merah | 3 siung bawang putih | 3 butir kemiri | 2 cm kunyit | 1 cm jahe | 1 sdt ketumbar | 1/2 sdt merica | Bumbu cemplung | 2 batang serai , geprek | 3 lembar daun jeruk | 2 lembar daun salam | 1 sdt garam | 1/2 sdt gula | 1/2 sdt kaldu bubuk | Pelangkap | 150 gram soun , seduh air panas | 2 butir telur rebus | 100 gram kol iris | 2 batang daun bawang iris | 2 batang seledri iris | 2 sdm bawang goreng | 2 buah jeruk nipis potong",26,"Blender bumbu halus, panaskan minyak, tumis bumbu halus,masukkan serai + daun salam+daun jeruk+ jahe geprek+lengkuas geprek sampai harum dan matang. || Rebus ayam dengan 1,5 liter air sampai empuk dan keluar kaldu, buang buihnya tapi jangan minyak kaldunnya karena itu yang bikin gurih. || Setelah buihnya habis,masukkan bumbu yang telah di tumis tadi,kemudian masuk kan garam,kaldu bubuk dan gula || Setelah kuah kaldunya jadi,angkat ayam tiriskan kemudian goreng sampai ayam berwarna kuning keemasan || Suir ayam yang telah di goreng,Tata dimangkok soun, kol, ayam suwir, telur, lalu siram kuah panas. Taburi daun bawang, seledri, bawang goreng, beri jeruk nipis.",5,60 menit,,Zanara Catering,Surabaya,https://cookpad.com/id/resep/25445093
229,Soto Ayam Kuah Kuning,soto ayam,"Assalamu'alaikum Masak menu buat buka puasa. Aku bikin soto ayam kuah kuning. Alat masaknya aku memakai Asta Homeware, yang seri Cappucino, berisi 4 set, wajannya sudah tebal dan anti lengket. Dan untuk menambah rasa aku tambahkan Garam Cap Kapal yang sudah Halal....",500 gr Ayam | 2 batang Daun bawang | 1 L Air | Bumbu Halus: | 5 siung Bawang Putih | 7 siung Bawang merah | 3 butir Kemiri | 1 ruas Jahe | 1 ruas Kunyit | 1/2 sdt Ketumbar | Bumbu Cemplung | 3 lembar Daun salam | 3 lembar Daun jeruk | 1 sdt Kaldu rasa ayam | 1 sdm Garam Cap Kapal | Bahan Lainnya | 1 keping Bihun diseduh | 4 lembar kol iris tipis | 1 genggam tauge | 2 butir telur rebus | secukupnya Bawang goreng,21,"Tumis bumbu halus sampai harum, Masukkan Ayam, daun salam dan Daun jeruk. Aduk rata. || Masukkan air, aduk kembali, tambahkan Garam Cap Kapal dan kaldu ayam. || Masak sampai ayam matang. || Setelah ayam matang, angkat ayam lalu sisa kuah beri daun bawang dikuahnya. Lalu aduk dan matikan kompor. || Lalu Goreng ayam sebentar saja, lalu suwir ayam || Penyajian: tata bihun, kol, tauge, telur dan suwiran ayam, lalu tuang kuah soto berintanuran bawang goreng, || Lalu sajikan Enjoy😍",7,45 menit,4 porsi,anif agustina,"Sleman, Yogyakarta, Indonesia",https://cookpad.com/id/resep/25443544
230,Soto Ayam Bening,soto ayam,Soto ayam sederhana,1/2 kg Ayam Potong | 8 siung Bawang Putih | 5 siung Bawang Merah | 3 ruas Kunyit | 1 ruas Jahe | 4 butir Kemiri | 1/4 sdt Pala Bubuk | 1/2 sdt Ketumbar Bubuk | Bumbu Cemplung | 1 batang Sereh | 3 lembar Daun Jeruk | Secukupnya Garam | Secukupnya Gula | Secukupnya Kaldu Bubuk | Bahan Pelengkap | Secukupnya Kubis | Secukupnya Kentang Goreng | Secukupnya Bihun | Secukupnya Sambal | 2 Butir Telur rebus,20,"Haluskan bumbu tumis hingga harum masukkan daun jeruk, sereh,bubuk ketumbar dan bubuk pala kemudian tumis hingga bumbu tanak || Tambahkan air biarkan mendidih kemudian masukkan garam, gula dan kaldu bubuk lalu tes rasa",2,,,Dhita Vernanda,"Benowo, Jawa Timur, Indonesia",https://cookpad.com/id/resep/25431547
