Nomor Registrasi,Nama Produk,Komposisi,Bentuk Sediaan,Kemasan,Pendaftar,Perusahaan,Negara_Asal,Tanggal Terbit,Masa Berlaku s/d,Status,Kategori_Obat,Golongan_Obat,Asal_Obat,Jumlah_Zat_Aktif,Durasi_Registrasi_Tahun,Sudah_Kedaluwarsa,Jumlah_Varian_Kemasan
DKI2265800117A1,TRAJENTA,LINAGLIPTIN,TABLET SALUT SELAPUT; 5 MG,"DUS, 3 ALUBLISTER @ 10 TABLET SALUT SELAPUT",BOEHRINGER INGELHEIM INDONESIA - Indonesia,BOEHRINGER INGELHEIM INDONESIA,Indonesia,2023-02-03,2028-02-03,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2267509917A1,KRYXANA,RIBOCICLIB SUCCINATE,TABLET SALUT SELAPUT,"DUS, 1 BLISTER @ 21 TABLET SALUT SELAPUT",NOVARTIS INDONESIA - Indonesia,NOVARTIS INDONESIA,Indonesia,2023-01-05,2025-01-06,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,2.0,True,1
DKI2268602149A1,ONIVYDE PEGYLATED LIPOSOMAL,IRINOTECAN HYDROCHLORIDE TRIHYDRATE,LARUTAN KONSENTRAT UNTUK INFUS; 5.0 mg,"DUS, 1 VIAL @ 10 ML @ 43 MG",GENERO PHARMACEUTICALS - Indonesia,GENERO PHARMACEUTICALS,Indonesia,2022-06-10,2027-06-10,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI22691300522A1,HEPA-MERZ,L-ORNITHINE L-ASPARTATE,GRANULA; 3 G,"DUS, 10 SACHET @ 5 G",PYRIDAM FARMA TBK - Indonesia,PYRIDAM FARMA TBK,Indonesia,2022-10-25,2027-10-25,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2270600492A1,CYGEST,PROGESTERONE,"PESSARY; 200,00  MG","DUS, 3 STRIP @ 5 PESSARY",TUNGGAL IDAMAN ABDI - Indonesia,TUNGGAL IDAMAN ABDI,Indonesia,2023-06-15,2028-06-15,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2270600492B1,CYGEST,PROGESTERONE,"PESSARY; 400,00 MG","DUS, 3 STRIP @ 5 PESSARY",TUNGGAL IDAMAN ABDI - Indonesia,TUNGGAL IDAMAN ABDI,Indonesia,2023-06-15,2028-06-15,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2273402344A1,ZYPREXA IM,OLANZAPINE,SERBUK INJEKSI; 5 MG,"DUS, 1 VIAL @ 10 MG",PYRIDAM FARMA TBK - Indonesia,PYRIDAM FARMA TBK,Indonesia,2022-09-24,2027-09-24,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2274300668A1,FLUIMUCIL,ACETYLCYSTEINE,CAIRAN INHALASI; 100 MG,"DUS, 5 AMPUL @ 3 ML",ERLANGGA EDI LABORATORIES (ERELA) - Indonesia,ERLANGGA EDI LABORATORIES (ERELA),Indonesia,2022-12-26,2027-12-26,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2275705167A1,TRELEGY ELLIPTA,,SERBUK INHALER,"DUS, 1 ELLIPTA @ 30 DOSIS",GLAXO WELLCOME INDONESIA - Indonesia,GLAXO WELLCOME INDONESIA,Indonesia,2022-08-19,2027-08-19,Berlaku,Obat Keras - Impor,Obat Keras,Impor,0,5.0,False,1
DKI2276703643A1,SYNFLORIX,PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 1 CONJUGATED TO PROTEIN D. PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 4 CONJUGATED TO PROTEIN D. PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 5 CONJUGATED TO PROTEIN D. PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 6B CONJUGATED TO PROTEIN D,SUSPENSI INJEKSI; 1 µG PS1 - 1.6 µG PD MCG /3 µG PS4 - 5.1 µG PD MCG /1 µG PS5 -  1.0 µG PD MCG /1 µG PS6B ~  0.8 µG P,"DUS, 1 PREFILLED SYRINGE @ 0,5 ML (1 DOSIS) + 1 JARUM SUNTIK",GLAXO WELLCOME INDONESIA - Indonesia,GLAXO WELLCOME INDONESIA,Indonesia,2022-01-28,2027-01-28,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2276703743A1,CERVARIX,HUMAN PAPILLOMAVIRUS TYPE 16 L1 PROTEIN. HUMAN PAPILLOMAVIRUS TYPE 18 L1 PROTEIN,SUSPENSI INJEKSI; 20  MCG /20  MCG,"DUS, 1 PREFILLED SYRINGE @ 1 DOSIS (0,5 ML)",GLAXO WELLCOME INDONESIA - Indonesia,GLAXO WELLCOME INDONESIA,Indonesia,2022-03-04,2027-03-04,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2276703844A1,PRIORIX TETRA,LIVE ATTENUATED MEASLES VIRUS (SCHWARZ STRAIN). LIVE ATTENUATED MUMPS VIRUS (RIT4385 STRAIN). LIVE ATTENUATED RUBELLA VIRUS (RA27/3 STRAIN). LIVE ATTENUATED VARICELLA ZOSTER VIRUS (OKA STRAIN),SERBUK INJEKSI + PELARUT; LEBIH BESAR DARI ATAU SAMA DENGAN 10 PANGKAT 3.0 CCID_50 /LEBIH BESAR DARI ATAU SAMA DENGAN 10 PANGK,"DUS, 1 VIAL + 1 PREFILLED SYRINGE PELARUT @ 0,5 ML + 2 JARUM",GLAXO WELLCOME INDONESIA - Indonesia,GLAXO WELLCOME INDONESIA,Indonesia,2022-04-05,2027-04-05,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2276703933A1,ROTARIX,LIVE ATTENUATED HUMAN ROTAVIRUS (RIX4414 STRAIN),SUSPENSI; NLT 1000000 CCID_50,"DUS, 1 TUBE @ 1,5 ML",GLAXO WELLCOME INDONESIA - Indonesia,GLAXO WELLCOME INDONESIA,Indonesia,2022-05-12,2027-05-12,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
